OBJECTID,Site_Description,Date_Sample_Collected,Test_Name,Species_Group,Result_Name,Result_Value_String,Result_Value_Numeric,Units,Result_Label
774,Grange Jetty,2025-07-02,Algal Identification,Other,Heterosigma akashiwo,,,Cells/L,Not detected
775,Grange Jetty,2025-07-02,Algal Identification,Other,Dictyocha fibula,,50,Cells/L,50 Cells/L
776,Grange Jetty,2025-07-02,Algal Identification,Other,Dictyocha octonaria,,,Cells/L,Not detected
777,Grange Jetty,2025-07-02,Algal Identification,Other,"Dolichospermum spp. (coiled, cells)",,,Cells/L,Not detected
778,Grange Jetty,2025-07-02,Algal Identification,Other,Lyngbya  sp. (filaments),,,Cells/L,Not detected
779,Grange Jetty,2025-07-02,Algal Identification,Other,Oscillatoria sp. (filaments),,,Cells/L,Not detected
780,Port River Dock One,2025-07-02,Algal Count - Total,,Results summary,"Mainly small flagellates (cryptomonads, dinoflagellates, prasinophytes, ochromonads) with benthic diatoms (Cylindrotheca). Freshwater influence (chlorophytes). Some sediment and organic detritus.",,,"Mainly small flagellates (cryptomonads, dinoflagellates, prasinophytes, ochromonads) with benthic diatoms (Cylindrotheca). Freshwater influence (chlorophytes). Some sediment and organic detritus."
781,Port River Dock One,2025-07-02,Algal Count - Total,,Potentially harmful species,Detected,,,Detected
782,Port River Dock One,2025-07-02,Algal Count - Total,,Total Phytoplankton > 5 micrometres,,277500,Cells/L,"277,500 Cells/L"
783,Port River Dock One,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia delicatissima group,,,Cells/L,Not detected
784,Port River Dock One,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia pungens/multiseries,,,Cells/L,Not detected
785,Port River Dock One,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia subcurvata,,,Cells/L,Not detected
786,Port River Dock One,2025-07-02,Algal Identification,Diatoms,Rhizosolenia  imbricata group,,,Cells/L,Not detected
787,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Azadinium/Heterocapsa sp.,,1000,Cells/L,"1,000 Cells/L"
788,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis acuminata,,50,Cells/L,50 Cells/L
789,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis caudata,,150,Cells/L,150 Cells/L
790,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Gonyaulax spinifera,,,Cells/L,Not detected
791,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Karenia sp.,,250,Cells/L,250 Cells/L
792,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Karlodinium spp.,,1000,Cells/L,"1,000 Cells/L"
793,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Noctiluca  scintillans,,,Cells/L,Not detected
794,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Phalacroma rotundatum,,,Cells/L,Not detected
795,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum cordatum,,1000,Cells/L,"1,000 Cells/L"
796,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum dentatum,,,Cells/L,Not detected
797,Port River Dock One,2025-07-02,Algal Identification,Dinoflagellates,Takayama spp.,,50,Cells/L,50 Cells/L
798,Port River Dock One,2025-07-02,Algal Identification,Other,Heterosigma akashiwo,,,Cells/L,Not detected
799,Port River Dock One,2025-07-02,Algal Identification,Other,Dictyocha fibula,x,,Cells/L,Detected in sample but not observed during cell counts 
800,Port River Dock One,2025-07-02,Algal Identification,Other,Dictyocha octonaria,,2000,Cells/L,"2,000 Cells/L"
801,Port River Dock One,2025-07-02,Algal Identification,Other,"Dolichospermum spp. (coiled, cells)",,,Cells/L,Not detected
802,Port River Dock One,2025-07-02,Algal Identification,Other,Lyngbya  sp. (filaments),,,Cells/L,Not detected
803,Port River Dock One,2025-07-02,Algal Identification,Other,Oscillatoria sp. (filaments),,,Cells/L,Not detected
804,Port River North Haven Boat Ramp,2025-07-02,Algal Count - Total,,Results summary,"A mix of planktonic diatoms (Coscinodiscus), benthic diatoms (Cylindrotheca) and small flagellates (dinoflagellates). Karenia highly degraded with size variation.",,,"A mix of planktonic diatoms (Coscinodiscus), benthic diatoms (Cylindrotheca) and small flagellates (dinoflagellates). Karenia highly degraded with size variation."
805,Port River North Haven Boat Ramp,2025-07-02,Algal Count - Total,,Potentially harmful species,Detected,,,Detected
806,Port River North Haven Boat Ramp,2025-07-02,Algal Count - Total,,Total Phytoplankton > 5 micrometres,,400000,Cells/L,"400,000 Cells/L"
807,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia delicatissima group,,,Cells/L,Not detected
808,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia pungens/multiseries,,,Cells/L,Not detected
809,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia subcurvata,,,Cells/L,Not detected
810,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Diatoms,Rhizosolenia  imbricata group,,,Cells/L,Not detected
811,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Azadinium/Heterocapsa sp.,,4000,Cells/L,"4,000 Cells/L"
812,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis acuminata,,,Cells/L,Not detected
813,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis caudata,,100,Cells/L,100 Cells/L
814,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Gonyaulax spinifera,x,,Cells/L,Detected in sample but not observed during cell counts 
815,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Karenia sp.,,13500,Cells/L,"13,500 Cells/L"
816,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Karlodinium spp.,,3000,Cells/L,"3,000 Cells/L"
817,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Noctiluca  scintillans,,,Cells/L,Not detected
818,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Phalacroma rotundatum,,200,Cells/L,200 Cells/L
819,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum cordatum,,,Cells/L,Not detected
820,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum dentatum,,,Cells/L,Not detected
821,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Takayama spp.,,500,Cells/L,500 Cells/L
822,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Other,Heterosigma akashiwo,x,,Cells/L,Detected in sample but not observed during cell counts 
823,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Other,Dictyocha fibula,,,Cells/L,Not detected
824,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Other,Dictyocha octonaria,,,Cells/L,Not detected
825,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Other,"Dolichospermum spp. (coiled, cells)",,,Cells/L,Not detected
826,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Other,Lyngbya  sp. (filaments),,,Cells/L,Not detected
827,Port River North Haven Boat Ramp,2025-07-02,Algal Identification,Other,Oscillatoria sp. (filaments),,,Cells/L,Not detected
828,Port River St Kilda Boat Ramp,2025-07-02,Algal Count - Total,,Results summary,"A mix of planktonic diatoms (Dactyliosolen), benthic diatoms (Cylindrotheca, Navicula, Plagiotropis) and small flagellates (cryptomonads, dinoflagellates, prasinophytes, prymnesiophytes, ochromonads).  High levels of sediment and organic detritus.",,,"A mix of planktonic diatoms (Dactyliosolen), benthic diatoms (Cylindrotheca, Navicula, Plagiotropis) and small flagellates (cryptomonads, dinoflagellates, prasinophytes, prymnesiophytes, ochromonads).  High levels of sediment and organic detritus."
829,Port River St Kilda Boat Ramp,2025-07-02,Algal Count - Total,,Potentially harmful species,Detected,,,Detected
830,Port River St Kilda Boat Ramp,2025-07-02,Algal Count - Total,,Total Phytoplankton > 5 micrometres,,1584000,Cells/L,"1,584,000 Cells/L"
831,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia delicatissima group,,,Cells/L,Not detected
832,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia pungens/multiseries,,,Cells/L,Not detected
833,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia subcurvata,,500,Cells/L,500 Cells/L
834,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Diatoms,Rhizosolenia  imbricata group,x,,Cells/L,Detected in sample but not observed during cell counts 
835,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Azadinium/Heterocapsa sp.,,4500,Cells/L,"4,500 Cells/L"
836,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis acuminata,,,Cells/L,Not detected
837,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis caudata,,50,Cells/L,50 Cells/L
838,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Gonyaulax spinifera,,,Cells/L,Not detected
839,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Karenia sp.,,50,Cells/L,50 Cells/L
840,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Karlodinium spp.,,,Cells/L,Not detected
841,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Noctiluca  scintillans,,,Cells/L,Not detected
842,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Phalacroma rotundatum,,,Cells/L,Not detected
843,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum cordatum,,500,Cells/L,500 Cells/L
844,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum dentatum,,500,Cells/L,500 Cells/L
845,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Dinoflagellates,Takayama spp.,,,Cells/L,Not detected
846,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Other,Heterosigma akashiwo,,500,Cells/L,500 Cells/L
847,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Other,Dictyocha fibula,,,Cells/L,Not detected
848,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Other,Dictyocha octonaria,,,Cells/L,Not detected
849,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Other,"Dolichospermum spp. (coiled, cells)",,,Cells/L,Not detected
850,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Other,Lyngbya  sp. (filaments),,1000,Cells/L,"1,000 Cells/L"
851,Port River St Kilda Boat Ramp,2025-07-02,Algal Identification,Other,Oscillatoria sp. (filaments),x,,Cells/L,Detected in sample but not observed during cell counts 
852,West Lakes Inlet,2025-07-02,Algal Count - Total,,Results summary,"Mainly small flagellates (cryptomonads, dinoflagellates, prymnesiophytes, ochromonads). Karenia highly degraded with size variation; some cells obvious but most exploded. High levels of Protoperidinium spp.. Very high levels of sediment and organic detritus.",,,"Mainly small flagellates (cryptomonads, dinoflagellates, prymnesiophytes, ochromonads). Karenia highly degraded with size variation; some cells obvious but most exploded. High levels of Protoperidinium spp.. Very high levels of sediment and organic detritus."
853,West Lakes Inlet,2025-07-02,Algal Count - Total,,Potentially harmful species,Detected,,,Detected
854,West Lakes Inlet,2025-07-02,Algal Count - Total,,Total Phytoplankton > 5 micrometres,,3552000,Cells/L,"3,552,000 Cells/L"
855,West Lakes Inlet,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia delicatissima group,,,Cells/L,Not detected
856,West Lakes Inlet,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia pungens/multiseries,,,Cells/L,Not detected
857,West Lakes Inlet,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia subcurvata,,,Cells/L,Not detected
858,West Lakes Inlet,2025-07-02,Algal Identification,Diatoms,Rhizosolenia  imbricata group,,,Cells/L,Not detected
859,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Azadinium/Heterocapsa sp.,,,Cells/L,Not detected
860,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis acuminata,,,Cells/L,Not detected
861,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis caudata,,2000,Cells/L,"2,000 Cells/L"
862,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Gonyaulax spinifera,,,Cells/L,Not detected
863,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Karenia sp.,,100500,Cells/L,"100,500 Cells/L"
864,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Karlodinium spp.,,,Cells/L,Not detected
865,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Noctiluca  scintillans,,100,Cells/L,100 Cells/L
866,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Phalacroma rotundatum,,,Cells/L,Not detected
867,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum cordatum,,,Cells/L,Not detected
868,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum dentatum,,,Cells/L,Not detected
869,West Lakes Inlet,2025-07-02,Algal Identification,Dinoflagellates,Takayama spp.,,,Cells/L,Not detected
870,West Lakes Inlet,2025-07-02,Algal Identification,Other,Heterosigma akashiwo,,,Cells/L,Not detected
871,West Lakes Inlet,2025-07-02,Algal Identification,Other,Dictyocha fibula,,,Cells/L,Not detected
872,West Lakes Inlet,2025-07-02,Algal Identification,Other,Dictyocha octonaria,,,Cells/L,Not detected
873,West Lakes Inlet,2025-07-02,Algal Identification,Other,"Dolichospermum spp. (coiled, cells)",,,Cells/L,Not detected
874,West Lakes Inlet,2025-07-02,Algal Identification,Other,Lyngbya  sp. (filaments),,,Cells/L,Not detected
875,West Lakes Inlet,2025-07-02,Algal Identification,Other,Oscillatoria sp. (filaments),,,Cells/L,Not detected
876,West Lakes Lochside Footbridge,2025-07-02,Algal Count - Total,,Results summary,"Planktonic diatoms (Cyclophora) and small flagellates (cryptomonads, dinoflagellates, prasinophytes).  ",,,"Planktonic diatoms (Cyclophora) and small flagellates (cryptomonads, dinoflagellates, prasinophytes).  "
877,West Lakes Lochside Footbridge,2025-07-02,Algal Count - Total,,Potentially harmful species,Detected,,,Detected
878,West Lakes Lochside Footbridge,2025-07-02,Algal Count - Total,,Total Phytoplankton > 5 micrometres,,157500,Cells/L,"157,500 Cells/L"
879,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia delicatissima group,,3000,Cells/L,"3,000 Cells/L"
880,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia pungens/multiseries,,,Cells/L,Not detected
881,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia subcurvata,,,Cells/L,Not detected
882,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Diatoms,Rhizosolenia  imbricata group,,,Cells/L,Not detected
883,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Azadinium/Heterocapsa sp.,,3000,Cells/L,"3,000 Cells/L"
884,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis acuminata,,,Cells/L,Not detected
885,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis caudata,,50,Cells/L,50 Cells/L
886,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Gonyaulax spinifera,,,Cells/L,Not detected
887,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Karenia sp.,,100,Cells/L,100 Cells/L
888,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Karlodinium spp.,,1000,Cells/L,"1,000 Cells/L"
889,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Noctiluca  scintillans,,,Cells/L,Not detected
890,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Phalacroma rotundatum,,,Cells/L,Not detected
891,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum cordatum,,,Cells/L,Not detected
892,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum dentatum,,,Cells/L,Not detected
893,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Dinoflagellates,Takayama spp.,,,Cells/L,Not detected
894,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Other,Heterosigma akashiwo,,,Cells/L,Not detected
895,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Other,Dictyocha fibula,,500,Cells/L,500 Cells/L
896,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Other,Dictyocha octonaria,,,Cells/L,Not detected
897,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Other,"Dolichospermum spp. (coiled, cells)",,,Cells/L,Not detected
898,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Other,Lyngbya  sp. (filaments),,,Cells/L,Not detected
899,West Lakes Lochside Footbridge,2025-07-02,Algal Identification,Other,Oscillatoria sp. (filaments),x,,Cells/L,Detected in sample but not observed during cell counts 
900,West Lakes Exit,2025-07-02,Algal Count - Total,,Results summary,"Mainly small flagellates (cryptomonads, dinoflagellates, prasinophytes, ochromonads) with benthic diatoms (Cylindrotheca).  Some sediment and organic detritus.",,,"Mainly small flagellates (cryptomonads, dinoflagellates, prasinophytes, ochromonads) with benthic diatoms (Cylindrotheca).  Some sediment and organic detritus."
901,West Lakes Exit,2025-07-02,Algal Count - Total,,Potentially harmful species,Detected,,,Detected
902,West Lakes Exit,2025-07-02,Algal Count - Total,,Total Phytoplankton > 5 micrometres,,380000,Cells/L,"380,000 Cells/L"
903,West Lakes Exit,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia delicatissima group,x,,Cells/L,Detected in sample but not observed during cell counts 
904,West Lakes Exit,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia pungens/multiseries,x,,Cells/L,Detected in sample but not observed during cell counts 
905,West Lakes Exit,2025-07-02,Algal Identification,Diatoms,Pseudo-nitzschia subcurvata,,,Cells/L,Not detected
906,West Lakes Exit,2025-07-02,Algal Identification,Diatoms,Rhizosolenia  imbricata group,x,,Cells/L,Detected in sample but not observed during cell counts 
907,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Azadinium/Heterocapsa sp.,,14000,Cells/L,"14,000 Cells/L"
908,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis acuminata,,,Cells/L,Not detected
909,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Dinophysis caudata,,150,Cells/L,150 Cells/L
910,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Gonyaulax spinifera,,,Cells/L,Not detected
911,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Karenia sp.,,,Cells/L,Not detected
912,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Karlodinium spp.,,1500,Cells/L,"1,500 Cells/L"
913,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Noctiluca  scintillans,,,Cells/L,Not detected
914,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Phalacroma rotundatum,,,Cells/L,Not detected
915,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum cordatum,x,,Cells/L,Detected in sample but not observed during cell counts 
916,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Prorocentrum dentatum,,,Cells/L,Not detected
917,West Lakes Exit,2025-07-02,Algal Identification,Dinoflagellates,Takayama spp.,,,Cells/L,Not detected
918,West Lakes Exit,2025-07-02,Algal Identification,Other,Heterosigma akashiwo,,500,Cells/L,500 Cells/L
919,West Lakes Exit,2025-07-02,Algal Identification,Other,Dictyocha fibula,x,,Cells/L,Detected in sample but not observed during cell counts 
920,West Lakes Exit,2025-07-02,Algal Identification,Other,Dictyocha octonaria,,,Cells/L,Not detected
921,West Lakes Exit,2025-07-02,Algal Identification,Other,"Dolichospermum spp. (coiled, cells)",,2000,Cells/L,"2,000 Cells/L"
922,West Lakes Exit,2025-07-02,Algal Identification,Other,Lyngbya  sp. (filaments),,,Cells/L,Not detected
923,West Lakes Exit,2025-07-02,Algal Identification,Other,Oscillatoria sp. (filaments),,,Cells/L,Not detected
924,Largs Bay Jetty,2025-07-02,Algal Count - Total,,Results summary,"Mainly small flagellates (cryptomonads, dinoflagellates, prasinophytes, prymnesiophytes, ochromonads). Some sediment and organic detritus.",,,"Mainly small flagellates (cryptomonads, dinoflagellates, prasinophytes, prymnesiophytes, ochromonads). Some sediment and organic detritus."
925,Largs Bay Jetty,2025-07-02,Algal Count - Total,,Total Phytoplankton,,887650,Cells/L,"887,650 Cells/L"
926,Largs Bay Jetty,2025-07-02,Algal Count - Total,,Diatoms ,,109000,Cells/L,"109,000 Cells/L"
927,Largs Bay Jetty,2025-07-02,Algal Count - Total,,Dinoflagellates,,260650,Cells/L,"260,650 Cells/L"
928,Largs Bay Jetty,2025-07-02,Algal Count - Total,,Other flagellates,,518000,Cells/L,"518,000 Cells/L"
929,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Achnanthes sp.,,,Cells/L,Not detected
930,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Amphora sp.,,,Cells/L,Not detected
931,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Anaulus australis,x,,Cells/L,Detected in sample but not observed during cell counts 
932,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Ardissonea crystallina,,,Cells/L,Not detected
933,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Asterionellopsis glacialis,,1500,Cells/L,"1,500 Cells/L"
934,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Cerataulina pelagica,x,,Cells/L,Detected in sample but not observed during cell counts 
935,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Chaetoceros spp.,,5000,Cells/L,"5,000 Cells/L"
936,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Cocconeis spp.,,500,Cells/L,500 Cells/L
937,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Coscinodiscus spp.,x,,Cells/L,Detected in sample but not observed during cell counts 
938,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Cyclophora tenuis,,,Cells/L,Not detected
939,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Cyclotella sp.,,500,Cells/L,500 Cells/L
940,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Cylindrotheca (=Ceratoneis) closterium,,85000,Cells/L,"85,000 Cells/L"
941,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Dactyliosolen fragilissimus,,5000,Cells/L,"5,000 Cells/L"
942,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Dactyliosolen phukutensis,,,Cells/L,Not detected
943,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Encyonema sp.,x,,Cells/L,Detected in sample but not observed during cell counts 
944,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Entomoneis spp.,,,Cells/L,Not detected
945,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Eunotia sp.,,,Cells/L,Not detected
946,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Grammotophora marina,,,Cells/L,Not detected
947,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Guinardia flaccida,,500,Cells/L,500 Cells/L
948,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Hemiaulus hauckii,,,Cells/L,Not detected
949,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Lauderia annulata,,,Cells/L,Not detected
950,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Licmophora sp.,,,Cells/L,Not detected
951,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Lyrella sp.,,,Cells/L,Not detected
952,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Melosira sp.,,,Cells/L,Not detected
953,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Minidiscus trioculatus,,,Cells/L,Not detected
954,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Minutocellus scriptus,,5000,Cells/L,"5,000 Cells/L"
955,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Naviculoid spp.,,5000,Cells/L,"5,000 Cells/L"
956,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Nitzschia spp.,,,Cells/L,Not detected
957,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Nitzschia longissima,,,Cells/L,Not detected
958,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Nitzschia sigmoidea,,,Cells/L,Not detected
959,Largs Bay Jetty,2025-07-02,Algal Identification,Diatoms,Odontella aurita,,,Cells/L,Not detected
